Data Table for Weekly Death Trends - New York City*
Date generated: Sun Oct 23 2022 19:12:10 GMT-0700 (Pacific Daylight Time)
State,Date,Weekly Deaths
New York City,Oct 19 2022,122
New York City,Oct 12 2022,91
New York City,Oct  5 2022,89
New York City,Sep 28 2022,75
New York City,Sep 21 2022,77
New York City,Sep 14 2022,107
New York City,Sep  7 2022,78
New York City,Aug 31 2022,95
New York City,Aug 24 2022,101
New York City,Aug 17 2022,102
New York City,Aug 10 2022,142
New York City,Aug  3 2022,88
New York City,Jul 27 2022,102
New York City,Jul 20 2022,77
New York City,Jul 13 2022,74
New York City,Jul  6 2022,61
New York City,Jun 29 2022,73
New York City,Jun 22 2022,62
New York City,Jun 15 2022,97
New York City,Jun  8 2022,76
New York City,Jun  1 2022,61
New York City,May 25 2022,66
New York City,May 18 2022,44
New York City,May 11 2022,36
New York City,May  4 2022,36
New York City,Apr 27 2022,26
New York City,Apr 20 2022,31
New York City,Apr 13 2022,30
New York City,Apr  6 2022,20
New York City,Mar 30 2022,35
New York City,Mar 23 2022,50
New York City,Mar 16 2022,75
New York City,Mar  9 2022,82
New York City,Mar  2 2022,156
New York City,Feb 23 2022,211
New York City,Feb 16 2022,348
New York City,Feb  9 2022,551
New York City,Feb  2 2022,651
New York City,Jan 26 2022,796
New York City,Jan 19 2022,898
New York City,Jan 12 2022,619
New York City,Jan  5 2022,301
New York City,Dec 29 2021,178
New York City,Dec 22 2021,110
New York City,Dec 15 2021,91
New York City,Dec  8 2021,78
New York City,Dec  1 2021,75
New York City,Nov 24 2021,56
New York City,Nov 17 2021,58
New York City,Nov 10 2021,77
New York City,Nov  3 2021,62
New York City,Oct 27 2021,66
New York City,Oct 20 2021,49
New York City,Oct 13 2021,97
New York City,Oct  6 2021,92
New York City,Sep 29 2021,133
New York City,Sep 22 2021,85
New York City,Sep 15 2021,106
New York City,Sep  8 2021,82
New York City,Sep  1 2021,80
New York City,Aug 25 2021,70
New York City,Aug 18 2021,60
New York City,Aug 11 2021,54
New York City,Aug  4 2021,39
New York City,Jul 28 2021,22
New York City,Jul 21 2021,27
New York City,Jul 14 2021,31
New York City,Jul  7 2021,25
New York City,Jun 30 2021,32
New York City,Jun 23 2021,29
New York City,Jun 16 2021,42
New York City,Jun  9 2021,81
New York City,Jun  2 2021,79
New York City,May 26 2021,104
New York City,May 19 2021,166
New York City,May 12 2021,210
New York City,May  5 2021,264
New York City,Apr 28 2021,257
New York City,Apr 21 2021,290
New York City,Apr 14 2021,362
New York City,Apr  7 2021,378
New York City,Mar 31 2021,403
New York City,Mar 24 2021,397
New York City,Mar 17 2021,436
New York City,Mar 10 2021,434
New York City,Mar  3 2021,548
New York City,Feb 24 2021,540
New York City,Feb 17 2021,554
New York City,Feb 10 2021,600
New York City,Feb  3 2021,555
New York City,Jan 27 2021,512
New York City,Jan 20 2021,475
New York City,Jan 13 2021,401
New York City,Jan  6 2021,244
New York City,Dec 30 2020,275
New York City,Dec 23 2020,208
New York City,Dec 16 2020,155
New York City,Dec  9 2020,106
New York City,Dec  2 2020,56
New York City,Nov 25 2020,77
New York City,Nov 18 2020,54
New York City,Nov 11 2020,65
New York City,Nov  4 2020,50
New York City,Oct 28 2020,35
New York City,Oct 21 2020,43
New York City,Oct 14 2020,32
New York City,Oct  7 2020,52
New York City,Sep 30 2020,33
New York City,Sep 23 2020,25
New York City,Sep 16 2020,27
New York City,Sep  9 2020,30
New York City,Sep  2 2020,73
New York City,Aug 26 2020,27
New York City,Aug 19 2020,38
New York City,Aug 12 2020,35
New York City,Aug  5 2020,39
New York City,Jul 29 2020,58
New York City,Jul 22 2020,78
New York City,Jul 15 2020,93
New York City,Jul  8 2020,137
New York City,Jul  1 2020,102
New York City,Jun 24 2020,150
New York City,Jun 17 2020,167
New York City,Jun 10 2020,258
New York City,Jun  3 2020,385
New York City,May 27 2020,415
New York City,May 20 2020,4915
New York City,May 13 2020,752
New York City,May  6 2020,1261
New York City,Apr 29 2020,1897
New York City,Apr 22 2020,2586
New York City,Apr 15 2020,3750
New York City,Apr  8 2020,3828
New York City,Apr  1 2020,2130
New York City,Mar 25 2020,465
New York City,Mar 18 2020,44
New York City,Mar 11 2020,1
New York City,Mar  4 2020,0
New York City,Feb 26 2020,0
New York City,Feb 19 2020,0
New York City,Feb 12 2020,0
New York City,Feb  5 2020,0
New York City,Jan 29 2020,0
