Data Table for Weekly Death Trends - The United States
Date generated: Mon Oct 24 2022 11:39:18 GMT-0700 (Pacific Daylight Time)
State,Date,Weekly Deaths,Historic Deaths
United States,Oct 19 2022,2566,0
United States,Oct 12 2022,2582,0
United States,Oct  5 2022,2994,0
United States,Sep 28 2022,2974,469
United States,Sep 21 2022,3158,0
United States,Sep 14 2022,3230,0
United States,Sep  7 2022,2972,0
United States,Aug 31 2022,4052,0
United States,Aug 24 2022,3247,0
United States,Aug 17 2022,3041,0
United States,Aug 10 2022,3934,0
United States,Aug  3 2022,3554,0
United States,Jul 27 2022,3170,0
United States,Jul 20 2022,2813,0
United States,Jul 13 2022,3443,0
United States,Jul  6 2022,1700,0
United States,Jun 29 2022,2557,0
United States,Jun 22 2022,2029,0
United States,Jun 15 2022,2173,0
United States,Jun  8 2022,2346,0
United States,Jun  1 2022,2127,0
United States,May 25 2022,2659,0
United States,May 18 2022,4154,0
United States,May 11 2022,2335,0
United States,May  4 2022,2805,0
United States,Apr 27 2022,2970,0
United States,Apr 20 2022,3047,0
United States,Apr 13 2022,3859,0
United States,Apr  6 2022,3994,0
United States,Mar 30 2022,4206,0
United States,Mar 23 2022,5212,0
United States,Mar 16 2022,8080,0
United States,Mar  9 2022,9560,0
United States,Mar  2 2022,10556,0
United States,Feb 23 2022,12631,0
United States,Feb 16 2022,14920,0
United States,Feb  9 2022,16128,0
United States,Feb  2 2022,17299,0
United States,Jan 26 2022,17675,0
United States,Jan 19 2022,14401,0
United States,Jan 12 2022,12076,0
United States,Jan  5 2022,9523,0
United States,Dec 29 2021,9381,0
United States,Dec 22 2021,11768,0
United States,Dec 15 2021,9686,0
United States,Dec  8 2021,11326,0
United States,Dec  1 2021,7322,0
United States,Nov 24 2021,8236,0
United States,Nov 17 2021,8284,0
United States,Nov 10 2021,8293,0
United States,Nov  3 2021,8555,0
United States,Oct 27 2021,9370,0
United States,Oct 20 2021,11977,0
United States,Oct 13 2021,11186,0
United States,Oct  6 2021,12651,0
United States,Sep 29 2021,14557,0
United States,Sep 22 2021,14353,0
United States,Sep 15 2021,13825,0
United States,Sep  8 2021,10843,0
United States,Sep  1 2021,10129,0
United States,Aug 25 2021,7834,0
United States,Aug 18 2021,6118,0
United States,Aug 11 2021,4872,0
United States,Aug  4 2021,3016,0
United States,Jul 28 2021,2347,0
United States,Jul 21 2021,1980,0
United States,Jul 14 2021,1898,0
United States,Jul  7 2021,1666,0
United States,Jun 30 2021,1908,0
United States,Jun 23 2021,2028,0
United States,Jun 16 2021,2329,0
United States,Jun  9 2021,2781,0
United States,Jun  2 2021,3707,0
United States,May 26 2021,3961,0
United States,May 19 2021,4054,0
United States,May 12 2021,4357,0
United States,May  5 2021,5090,0
United States,Apr 28 2021,5072,0
United States,Apr 21 2021,5053,0
United States,Apr 14 2021,5305,0
United States,Apr  7 2021,7133,0
United States,Mar 31 2021,6351,0
United States,Mar 24 2021,7290,0
United States,Mar 17 2021,7515,0
United States,Mar 10 2021,9815,0
United States,Mar  3 2021,13628,0
United States,Feb 24 2021,13865,0
United States,Feb 17 2021,14332,0
United States,Feb 10 2021,19132,0
United States,Feb  3 2021,21188,0
United States,Jan 27 2021,22568,0
United States,Jan 20 2021,21554,0
United States,Jan 13 2021,23376,0
United States,Jan  6 2021,19312,0
United States,Dec 30 2020,16905,0
United States,Dec 23 2020,19303,0
United States,Dec 16 2020,18528,0
United States,Dec  9 2020,16606,0
United States,Dec  2 2020,12632,0
United States,Nov 25 2020,12712,0
United States,Nov 18 2020,9718,0
United States,Nov 11 2020,8358,0
United States,Nov  4 2020,7256,0
United States,Oct 28 2020,6281,0
United States,Oct 21 2020,5989,0
United States,Oct 14 2020,5311,0
United States,Oct  7 2020,5017,0
United States,Sep 30 2020,5152,0
United States,Sep 23 2020,5446,0
United States,Sep 16 2020,5764,0
United States,Sep  9 2020,5207,0
United States,Sep  2 2020,6087,0
United States,Aug 26 2020,6556,0
United States,Aug 19 2020,6982,0
United States,Aug 12 2020,7287,0
United States,Aug  5 2020,7371,0
United States,Jul 29 2020,7529,0
United States,Jul 22 2020,6122,0
United States,Jul 15 2020,5436,0
United States,Jul  8 2020,4475,0
United States,Jul  1 2020,3780,0
United States,Jun 24 2020,4151,0
United States,Jun 17 2020,4600,0
United States,Jun 10 2020,5057,0
United States,Jun  3 2020,6496,0
United States,May 27 2020,6819,0
United States,May 20 2020,9462,0
United States,May 13 2020,10381,0
United States,May  6 2020,12719,0
United States,Apr 29 2020,13852,0
United States,Apr 22 2020,15428,0
United States,Apr 15 2020,15528,0
United States,Apr  8 2020,12687,0
United States,Apr  1 2020,5458,0
United States,Mar 25 2020,1157,0
United States,Mar 18 2020,135,0
United States,Mar 11 2020,8,0
United States,Mar  4 2020,6,0
United States,Feb 26 2020,0,0
United States,Feb 19 2020,0,0
United States,Feb 12 2020,0,0
United States,Feb  5 2020,0,0
United States,Jan 29 2020,0,0
